evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,BiomassInit,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,evolution$generated,om_MSTb,om_MFETc,om_MFETb,om_MSTc,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,om_biomassfished,mySeed
900,900,217.39436372237873,1.5572108497461463,false,2035.1083916165107,366476.82605424896,192689.945170467,5.5445084498194E8,1,163,"[0.0]","[32.0]","[0.0]","[0.9915068493150685]","[5.5445084498194E8]","[3.8229776049628246E8]","[192689.945170467]","[1.721530844856576E8]","[165.8753647806967]","[-355485430]"
900,900,120.57518066417444,6.0,true,1831.119832160931,397449.3443664243,313758.3906817195,4.7292469520124745E8,1,486,"[0.0]","[25.0]","[0.0]","[0.9934246575342466]","[4.7292469520124745E8]","[3.269286688392973E8]","[313758.3906817195]","[1.4599602636195016E8]","[182.29681668890223]","[2023410863]"
900,900,310.537987714956,2.7992626988427753,true,1728.3080941219923,319590.71151327156,130627.59061074724,2.150235721480301E8,1,578,"[0.37256011315417253]","[49.0]","[237.0]","[0.9868493150684932]","[2.150235721480301E8]","[1.5052663136907244E8]","[130627.59061074724]","[6.449694077895768E7]","[145.5580197148198]","[-1361994485]"
900,900,104.51651625836328,1.639989123587709,true,1893.18626058815,293644.35058391455,226680.93299383103,6.144945911735857E8,2,170,"[0.0,0.0]","[39.0,39.0]","[0.0,0.0]","[0.9895890410958904,0.9895890410958904]","[6.146507569871991E8,6.144945911735857E8]","[4.2385192036623025E8,4.238111986059468E8]","[226716.72069072197,226680.93299383103]","[1.9079883662096876E8,1.9068339256763884E8]","[98.59632756455949,96.89205946480405]","[1847834517,-1588066945]"
900,900,481.0711377260593,3.3016360810722953,true,1455.3259550112148,429882.12037475227,81062.88483614026,7.577053380704466E7,2,4,"[0.8353424657534246,0.8364383561643836]","[51.0,51.0]","[143.0,143.0]","[0.9863013698630136,0.9863013698630136]","[7.581423213095313E7,7.577053380704466E7]","[5.566808414787321E7,5.566868011200756E7]","[81062.88483614026,81082.10221211881]","[2.014614798307993E7,2.0101853695037093E7]","[104.26227069790743,99.294101726694]","[1673118611,-235626533]"
900,900,71.78855161680826,1.780304665179699,false,2175.386379205119,395147.21876089904,335716.1460696173,1.096730381714591E9,1,109,"[0.0]","[24.0]","[0.0]","[0.9936986301369863]","[1.096730381714591E9]","[7.535977419597781E8]","[335716.1460696173]","[3.431326397548131E8]","[100.03335138298733]","[-954483066]"
900,900,358.60515155039735,4.44942647237124,true,1623.5292962910528,200694.2324898929,82334.6832424239,8.895437478578803E7,1,584,"[0.8194520547945205]","[121.0]","[64.0]","[0.9671232876712329]","[8.895437478578803E7]","[6.45704822658425E7]","[82334.6832424239]","[2.4383892519945532E7]","[114.1515828276405]","[-2006205287]"
900,900,411.7540231457255,0.01384118465239451,false,2002.8592332629632,450000.0,168.9548283279686,4.001075484849051E7,1,800,"[0.9558904109589041]","[27.0]","[162.0]","[0.9928767123287672]","[4.001075484849051E7]","[3.1150695632474527E7]","[168.9548283279686]","[8860059.21601598]","[0.24127290457026118]","[802597344]"
900,900,492.2634202139174,0.30661432014354384,true,1841.5028662923044,188868.13709004695,18274.727238418185,1.5162774697605936E7,1,5,"[0.989041095890411]","[210.0]","[41.0]","[0.9427397260273973]","[1.5162774697605936E7]","[1.436240698333711E7]","[18274.727238418185]","[800367.7142688263]","[18.397490674021007]","[1380448859]"
900,900,473.2126363461977,3.570859827774393,false,1784.7893101170862,122242.78544845029,12172.615037500618,7527565.141255994,2,10,"[0.9972602739726028,0.9972602739726028]","[0.0,0.0]","[11.0,11.0]","[0.0,0.0]","[7584245.754879631,7527565.141255994]","[9070138.958360348,9030862.738732966]","[12232.560678725797,12172.615037500618]","[-1485893.2034807163,-1503297.597476971]","[22.99248193837934,22.741359847798194]","[-1643368709,-1912812712]"
