evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,LongueurFilet,LongueurFiletEtrangers,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,mySeed
1720,1720,446.488545620138,4.584024589882247,false,2594.355361459274,3332.3114287036433,3037.6145295217057,22853.55728398755,39455.46100850454,2,"[41705.3691203552,39455.46100850454]","[18787.620445192824,18645.360992086516]","[22970.153755275074,22853.55728398755]","[22917.748675162376,20810.100016418022]","[-1707832070,1651749752]"
1720,1720,212.08089514915218,1.6081302096719203,true,2152.394447119422,3048.558703864561,3125.731782568385,173290.5425853908,257009.68466079066,1,"[257009.68466079066]","[128968.46852175753]","[173290.5425853908]","[128041.21613903313]","[2115301949]"
1720,1720,102.29498712646517,3.8985870013832926,false,2259.9975637226144,2450.1004065910074,4000.0,322100.42479612556,610926.7694358691,1,"[610926.7694358691]","[435619.5947622073]","[322100.42479612556]","[175307.17467366174]","[1570036678]"
1720,1720,332.84704183470274,3.034059454117443,true,1999.074364224874,3832.8690437907317,3118.888906489866,75313.310683312,85549.3245863241,2,"[85549.3245863241,95750.45384808202]","[32536.476231347187,38525.752848803946]","[75313.310683312,75680.05409537801]","[53012.84835497692,57224.70099927808]","[-374026805,2077099644]"
1720,1720,206.38773806437715,0.364586727576539,true,1000.0,2145.450853905255,3033.3274798192833,168499.63596088364,82466.36481564387,1,"[82466.36481564387]","[57153.3523371115]","[168499.63596088364]","[25313.012478532375]","[-640468532]"
1720,1720,319.4570655541228,2.8167135712073437,true,2152.2255205179254,1985.4743419334845,2449.1427302199836,196116.2387723613,143167.82780774267,1,"[143167.82780774267]","[86332.59884030823]","[196116.2387723613]","[56835.22896743444]","[-276801025]"
1720,1720,108.38295460543262,3.600284748244945,false,2437.6230261533374,2687.230723947639,2815.0744768978366,330933.8035931014,503567.65719699045,1,"[503567.65719699045]","[270679.1527017546]","[330933.8035931014]","[232888.50449523583]","[718342321]"
1720,1720,166.0528085952074,5.324143561837994,true,3000.0,3716.651883274602,2960.9573800074613,274468.3598996508,672277.9986466772,1,"[672277.9986466772]","[262539.88726852986]","[274468.3598996508]","[409738.1113781474]","[-1579417368]"
1720,1720,246.71959363132257,5.67319499183821,true,3000.0,3379.8827277952623,2255.0559884017493,246965.28070318408,471462.58254705695,1,"[471462.58254705695]","[161084.15480312813]","[246965.28070318408]","[310378.42774392886]","[1195272]"
1720,1720,152.20920461945505,5.993913953563186,false,2819.4758061461225,3526.4473699106625,1577.6898480452774,322079.70752464427,587432.846967945,1,"[587432.846967945]","[108920.16407448066]","[322079.70752464427]","[478512.6828934643]","[230042422]"
1720,1720,484.8944144599582,2.2430655113261686,true,1294.5783890922803,1548.3354297521555,3523.316113028138,54933.53224657979,16242.164553227178,1,"[16242.164553227178]","[15300.286648760884]","[54933.53224657979]","[941.8779044662929]","[1281520326]"
1720,1720,163.5028294354572,3.8266050647321666,true,2453.4729597156993,1000.0,2380.2324664792404,331616.00516161177,223534.59262774754,1,"[223534.59262774754]","[191475.4624098093]","[331616.00516161177]","[32059.130217938236]","[2068967091]"
1720,1720,325.0438485517208,5.741769584315659,false,2832.0396553968794,1000.0,3998.087072726353,214366.99989523683,368770.6869660942,1,"[368770.6869660942]","[344687.45226603135]","[214366.99989523683]","[24083.234700062858]","[1633947664]"
1720,1720,254.33683799269537,1.3442195837104125,true,2021.2110014540735,2351.5025199177385,3848.2443030298587,127161.59842678867,166799.52013438867,1,"[166799.52013438867]","[118130.89992262195]","[127161.59842678867]","[48668.62021176673]","[-1122763948]"
1720,1720,330.7025759391531,2.8775593721018127,false,2653.130118557271,2702.8089488117266,1964.6671090177492,147960.14503538838,167966.64860762653,2,"[169665.54840798303,167966.64860762653]","[59540.08527807168,59384.323815190866]","[147960.14503538838,148230.01649479446]","[110125.46312991137,108582.32479243565]","[1755979638,-1167036948]"
1720,1720,167.89592586419334,0.8780322054952049,false,1302.8388462456173,1791.8005042467303,2927.1695079808455,237186.50049901902,150266.64951939596,1,"[150266.64951939596]","[104212.41927718418]","[237186.50049901902]","[46054.23024221178]","[-1095076193]"
1720,1720,341.26949759858974,3.346711902217302,false,2804.827996144107,3005.514049527245,1826.088452895539,137372.76918607354,207229.07593068926,1,"[207229.07593068926]","[58932.33744799276]","[137372.76918607354]","[148296.7384826965]","[-1241740918]"
1720,1720,197.0413533677054,0.2282472699360651,true,1678.8101560055734,1605.277854629202,1981.912205354237,239118.48932796583,101642.15025335207,1,"[101642.15025335207]","[57878.35345041713]","[239118.48932796583]","[43763.79680293493]","[292643117]"
