evolution$generation,evolution$evaluated,nbBoats,ReserveIntegrale,ZonesExclusionPeche,PrixPoisson,LongueurFilet,LongueurFiletEtrangers,objective$om_sumBiomass,objective$om_capitalTotal,evolution$samples,om_capitalTotal,om_capital_moyen_2,om_sumBiomass,om_capital_moyen_1,mySeed
1540,1540,158.0604263032804,4.008305737640553,true,2606.206220359967,3610.555049767658,4000.0,239119.60479914912,626709.6694244747,1,"[626709.6694244747]","[329268.6537236199]","[239119.60479914912]","[297441.01570085477]","[380945883]"
1540,1540,600.0,1.2598315201003956,false,1476.9752601908099,1424.233291207071,1693.06869477096,4242.43553828835,-4688.62730007961,2,"[-4668.869770707704,-4708.3848294515155]","[-2233.879964772555,-2267.1553063252622]","[4294.121819097064,4190.749257479634]","[-2434.9898059351494,-2441.2295231262538]","[-1777203521,547531846]"
1540,1540,105.38238777930923,1.9613656887154562,false,2408.1112078432134,1231.8834669958212,2100.4972798847593,354862.10973781615,221133.07122235472,1,"[221133.07122235472]","[167047.40123813468]","[354862.10973781615]","[54085.669984220025]","[-1240467655]"
1540,1540,530.145320511461,2.061754508264004,true,1287.0445282142664,1752.6936830583952,2280.096035580317,56250.59191490669,9250.670746078064,2,"[8918.902209814605,9582.43928234152]","[5792.286254856949,7191.459490614574]","[56166.42658290642,56334.757246906964]","[3126.615954957657,2390.979791726946]","[1281735802,820567763]"
1540,1540,412.80168802292843,6.0,false,1225.3409832886855,2728.679332627754,3455.0247379615776,131808.542016544,112086.8600329544,1,"[112086.8600329544]","[70278.27358620339]","[131808.542016544]","[41808.58644675102]","[1260356222]"
1540,1540,138.7367755543624,2.44611955195131,false,1642.9016379532698,4000.0,1707.0519935737432,286829.3813218278,339232.26965462917,1,"[339232.26965462917]","[55034.28743524256]","[286829.3813218278]","[284197.9822193866]","[566573687]"
1540,1540,459.23797806306715,0.4447593789033406,false,2112.6410560371246,1932.9225242208631,1136.33682647553,58119.397354115485,21962.715010490858,1,"[21962.715010490858]","[5181.211153877722]","[58119.397354115485]","[16781.503856613137]","[1978923137]"
1540,1540,460.5528208817569,5.405126527062905,true,2493.7719283455026,1000.0,1000.0,295104.314466851,56967.85988123193,1,"[56967.85988123193]","[28534.809455233164]","[295104.314466851]","[28433.05042599877]","[2123392457]"
1540,1540,253.5842040194405,3.1023418524072,false,2602.957623485949,2135.074659892859,3763.136862159987,183511.63460901316,358962.6843794879,1,"[358962.6843794879]","[266897.76191996667]","[183511.63460901316]","[92064.92245952121]","[-1787282783]"
1540,1540,285.70933204147445,0.4356169876981877,false,2348.8019092937175,1375.6840311234446,2218.8374459600404,182933.01053988095,119955.93459649473,2,"[120217.2924056389,119694.57678735055]","[82470.70019224087,82615.11064534947]","[183016.48581148207,182849.53526827984]","[37746.592213398035,37079.46614200109]","[-329101582,294107493]"
1540,1540,519.3757716815978,4.0515878460335335,false,2301.107060520364,2950.2578456279134,2010.1481643827542,22367.46126472463,21658.34125471,1,"[21658.34125471]","[7096.1807196067775]","[22367.46126472463]","[14562.160535103225]","[2068783317]"
1540,1540,448.64501836985204,4.863250183608596,true,1192.3868121196783,4000.0,1787.2343033339134,103619.87215473093,65652.00202116097,1,"[65652.00202116097]","[11783.838894782659]","[103619.87215473093]","[53868.16312637831]","[-1890665078]"
1540,1540,278.40570430862897,4.856081398645501,true,2713.1927798094375,1000.0,3845.121066891605,244747.36291520396,380708.0779606281,1,"[380708.0779606281]","[356346.31338407303]","[244747.36291520396]","[24361.76457655507]","[-1086644889]"
1540,1540,323.3181209044563,3.398216810129793,false,2668.044231613687,1806.6957419900205,3929.978193764666,99232.46617755831,182275.32994903234,1,"[182275.32994903234]","[144449.42812196404]","[99232.46617755831]","[37825.901827068315]","[266469485]"
1540,1540,178.97771855113336,4.24756851805485,true,2611.4130742096027,2000.753762913073,1000.0,340161.92237196804,205618.8347190551,1,"[205618.8347190551]","[35393.73734333797]","[340161.92237196804]","[170225.09737571713]","[-1449258730]"
