"BehaviorSpace results (NetLogo 6.4.0)","Table version 2.0"
"modelv0.nlogo"
"mathias_et_al"
"08/23/2024 17:02:40:934 +0000"
"min-pxcor","max-pxcor","min-pycor","max-pycor"
"-70","70","-70","70"
"[run number]","LongueurFilet","PropBiomassPecheSenegalais","QtéMaxPoissonPirogueEtrangers","PrixPoisson","BiomassInit","nbBoats","LongueurFiletEtrangers","ReserveIntegrale","satifsactionCapitalG","SatisfactionCapital","satisfactionBiomassG","ZonesExclusionPeche","SortieSemaine","capital_totalI","PropBiomassPecheEtrangers","QtéMaxPoissonPirogue","CoutMaintenance","ProportionSenegalais","[step]","sumBiomass","biomassfished","capital_moyen_1","capital_moyen_2","meanMST","medianMFET","MFETb","MFETc","MSTb","MSTc"
"85","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3770.7497363487573","2.637626787846288","-7045835.109574173","1.3471254410555292E7","0.35208410577165916","519.5","1","0","1","0"
"84","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3781.7290185854663","2.6748291463839045","-7044573.524228247","1.3505255092994148E7","0.3525032375241135","519.5","1","0","1","0"
"86","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3787.615935163066","2.810083748063579","-7044187.216328373","1.349705402748292E7","0.3520975394816737","524.5","1","0","1","0"
"87","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3764.8369122786935","2.6068270329031367","-7053872.467876337","1.3472762485805035E7","0.3520061902535747","525.5","1","0","1","0"
"88","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3763.655886199039","2.757083291309539","-7038927.975862338","1.3492009168886121E7","0.35166228727720195","521.5","1","0","1","0"
"89","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3777.3224423969036","2.682005470867678","-7054794.05760869","1.3422708888989529E7","0.35168915469723105","526.5","1","0","1","0"
"91","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6755.719345970015","5.131350297262564","-7570060.9070995115","1.0182606293262059E7","0.28218582582388946","766.5","1","0","1","0"
"92","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6745.161918994962","5.54017463921838","-7569517.547428799","1.0204016020469777E7","0.28285751132461756","765.5","1","0","1","0"
"90","2000","1","31","1900","10000","90","3000","0","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","3777.3623438645177","2.636042357207998","-7046697.764459923","1.349160179441808E7","0.3518503592174058","524","1","0","1","0"
"93","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6757.852985461132","5.40261467765464","-7568066.184295356","1.0199939080807766E7","0.2821670186298691","766.5","1","0","1","0"
"94","2000","1","31","1900","10000","90","3000","6","1085000000","5000000","100000","true","6","100000","3","34","3000","50","3650","6752.87264040699","5.3541493945583785","-7568501.09399986","1.019594413169106E7","0.2824518132821778","766.5","1","0","1","0"
