BiomassInit,mySeed,nbBoats,om_MFETb,om_MFETc,om_MSTb,om_MSTc,om_biomassfished,om_capitalTotal,om_capital_moyen_1,om_capital_moyen_2,om_sumBiomass,openmole$experiment
120000.0,-1887662897,550.0,8.0,0.0,0.9980821917808219,0.0,9.340988383095944E-9,-1.3810692181399234E7,-8336426.070121356,-5474266.111277876,5.087404304296621E-6,15917
420000.0,-1887662897,450.0,129.0,33.0,0.9649315068493151,0.9912328767123287,0.004485206031603448,2.1186492658312857E7,2827038.272071788,1.835945438624107E7,2.8273659295339377,15865
70000.0,-1887662897,550.0,1.0,0.0,1.0,0.0,5.448909890139303E-9,-1.710040377248289E7,-9384998.540904129,-7715405.231578761,2.9676525108396844E-6,15912
370000.0,-1887662897,500.0,90.0,40.0,0.9756164383561644,0.986890756302521,1.225402670653632E-6,5757596.407543783,-2083693.6072413037,7841290.014785087,7.365485692696079E-4,15901
330000.0,-1887662897,500.0,79.0,48.0,0.9786301369863014,0.9810483870967742,1.0929267062586437E-6,2788558.958079609,-3031726.730782779,5820285.688862388,6.569216969161372E-4,15897
70000.0,-1887662897,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,69999.99999999903,15461
340000.0,-1887662897,450.0,102.0,44.0,0.9723287671232876,0.9882191780821917,0.003630881073202793,1.3016494056729482E7,221316.69643906772,1.2795177360290416E7,2.2888200381941353,15857
280000.0,-1887662897,450.0,80.0,60.0,0.9783561643835617,0.9809677419354839,0.0029901373544023017,6888995.105541933,-1732974.4852854726,8621969.590827405,1.8849106196892937,15851
320000.0,-1887662897,450.0,95.0,49.0,0.9742465753424657,0.9868493150684932,0.0034172998336026304,1.0973994406333609E7,-430113.69746910897,1.1404108103802718E7,2.154183565359192,15855
300000.0,-1887662897,450.0,88.0,54.0,0.9761643835616438,0.984597500726533,0.003203718594002462,8931494.755937783,-1081544.0913772916,1.0013038847315075E7,2.019547092524241,15853
230000.0,-1887662897,500.0,50.0,93.0,0.9865753424657534,0.9258662369057212,7.617367952711761E-7,-4634034.665580888,-5401809.539636488,767774.8740556,4.57854516032459E-4,15887
200000.0,-1887662897,450.0,47.0,112.0,0.9873972602739726,0.9357638888888888,0.0021358123960016433,-1281003.4960414758,-4338696.060918192,3057692.5648767166,1.346364728349493,15843
170000.0,-1887662897,500.0,29.0,0.0,0.9923287671232877,0.0,5.63022848678695E-7,-9087590.839777177,-6823859.224948709,-2263731.614828468,3.3841420750225224E-4,15881
160000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,159999.99999999767,15470
50000.0,-1887662897,500.0,1.0,0.0,1.0,0.0,1.6559495549373396E-7,-1.7994703188169755E7,-9667958.595573148,-8326744.592596608,9.953359044183896E-5,15869
430000.0,1327333872,600.0,79.0,35.0,0.9786301369863014,0.9850154252974879,1.4679149701307894E-11,1521530.9589514276,-3441992.611687471,4963523.570638899,7.823692576842755E-9,15456
440000.0,1327333872,600.0,81.0,34.0,0.9780821917808219,0.9860110216193302,1.502052527575689E-11,2061706.0975316912,-3269643.60265694,5331349.700188631,8.00563891583911E-9,15457
450000.0,1327333872,600.0,83.0,33.0,0.9775342465753425,0.9869334422213148,1.536190085020591E-11,2601881.2361119827,-3097294.593626409,5699175.829738392,8.187585254835463E-9,15458
50000.0,-1887662897,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49999.99999999947,15459
60000.0,-1887662897,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,59999.99999999858,15460
400000.0,-1887662897,450.0,123.0,35.0,0.9665753424657534,0.9906849315068493,0.004271624792003287,1.914399300791707E7,2175607.8781636194,1.6968385129753448E7,2.692729456698986,15863
390000.0,-1887662897,450.0,119.0,37.0,0.9676712328767123,0.9901369863013698,0.004164834172203201,1.8122743182719115E7,1849892.6812095188,1.6272850501509596E7,2.6254112202815123,15862
80000.0,-1887662897,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,79999.99999999884,15462
90000.0,-1887662897,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,89999.99999999806,15463
110000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109999.99999999545,15465
350000.0,-1887662897,450.0,106.0,43.0,0.9712328767123287,0.9884931506849315,0.003737671693002877,1.4037743881927395E7,547031.8933931612,1.3490711988534234E7,2.3561382746116166,15858
130000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129999.99999999821,15467
140000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139999.99999999805,15468
150000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.00000000215,15469
260000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259999.99999999642,15480
170000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,170000.00000000562,15471
210000.0,-1887662897,500.0,43.0,116.0,0.9884931506849315,0.8837209302325582,6.954988130736821E-7,-6118553.390312984,-5875826.101407223,-242727.2889057599,4.18041079855723E-4,15885
190000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,190000.0000000073,15473
360000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359999.99999999226,15490
180000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179999.99999999613,15472
140000.0,-1887662897,500.0,17.0,0.0,0.9956164383561644,0.0,4.6366587538245553E-7,-1.1314368926875321E7,-7534884.067604817,-3779484.8592705033,2.7869405323714853E-4,15878
200000.0,-1887662897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199999.99999999788,15474
